Source,SearchUrl,Additional,AlternativeLink,AlternativeSearchLink,Locations,PricesList,,,,,,,LowestPrice,MultiChoice,NothingFoundOrOutOfStock,NoAnswerOrError,ErrorMessage
,,,,,,Title,DeliveryDays,Availability,DoublePrice,Price,Url,DeliveryPrice,,,,,
Amazon.ca,https://www.amazon.ca/s?i=aps&k=WPW10503278&ref=nb_sb_noss&url=search-alias=aps,ðŸ…°,,,,,,,,,,,0.0,FALSE,FALSE,TRUE,Proxy list ended
Amresupply.com,https://www.amresupply.com/search?q=WPW10503278,ðŸ“¦$13.99,,,,"Universal Refrigerator Power Control Board, Equivalent to Whirlpool WPW10503278",,part In Stock,$161.59 / $0,0.0,https://www.amresupply.com/part/19908075,0.0,0.0,TRUE,FALSE,FALSE,
Apwagner.ca,https://www.apwagner.ca/search/WPW10503278,,,,,CNTRL-ELEC,,In Stock,,175.10,https://www.apwagner.ca/part/wpl/wpw10503278,0.0,175.10,FALSE,FALSE,FALSE,
Easyapplianceparts.ca,https://www.easyapplianceparts.ca/Search.ashx?SearchTerm=WPW10503278&SearchMethod=standard,ðŸ“¦$12.99,,,,Electronic Control Board,,In Stock,,221.73,https://www.easyapplianceparts.ca/PartInfo.aspx?inventory=11755733&SourceCode=3&SearchTerm=WPW10503278,0.0,221.73,FALSE,FALSE,FALSE,
eBay.ca,https://www.ebay.ca/sch/i.html?_from=R40&_nkw=WPW10503278&_sacat=0&_stpos=L4L0A1&_sadis=100&_fspt=1&LH_PrefLoc=1&rt=nc&LH_BIN=1,ðŸ…±,,,,,,,,155.99,https://www.ebay.ca/itm/354337763167,4.99,155.99,TRUE,FALSE,FALSE,
Encompass.com,https://encompass.com/search?searchTerm=WPW10503278,,,,,WPW10503278 Whirlpool Refrigerator Main Control Board,,In Stock,$136.27 usd,0.0,https://encompass.com/item/9648633/Whirlpool/WPW10503278/,0.0,136.27,FALSE,FALSE,FALSE,
Majorapplianceparts.ca,https://majorapplianceparts.ca/?s=WPW10503278&post_type=product&type_aws=true,,,,,Whirlpool Refrigerator Main Control Board. Part #WPW10503278 - Major Appliance Parts,,,,195.00,https://majorapplianceparts.ca/product/whirlpool-refrigerator-main-control-board-part-wpw10503278/,0.0,195.00,FALSE,FALSE,FALSE,
Marcone.com,https://beta.marcone.com/Home/SearchPartModelList?searchString=WPW10503278&Type=Part,,,,Vaughan (99),BOARD-JAZZ,,In Stock,$108.37 / $194.55,0.0,https://beta.marcone.com/Product/Detail?Part=WPW10503278&Make=WPL,0.0,108.37,FALSE,FALSE,FALSE,
Partselect.ca,https://www.partselect.ca/Search.ashx?SearchTerm=WPW10503278&SearchMethod=standard,ðŸ“¦$12.99,,,Brampton (11),Electronic Control Board,, In Stock,,248.50,https://www.partselect.ca/PS11755733-Whirlpool-WPW10503278-Electronic-Control-Board.htm?SourceCode=3&SearchTerm=WPW10503278,0.0,248.50,FALSE,FALSE,FALSE,
Partsexpert.ca,https://partsexpert.ca/?s=WPW10503278&post_type=product&type_aws=true,ðŸ“¦$14.99,,,Mississauga (30),Whirlpool Refrigerator Electronic Control Board,,,,179.52,https://partsexpert.ca/product/wpw10503278-whirlpool-refrigerator-electronic-control-board/,0.0,179.52,FALSE,FALSE,FALSE,
Reliableparts.net,https://reliableparts.net/ca/en/content/#/search/WPW10503278,ðŸ“¦$10.95,https://www.reliableparts.ca/product/inv_15153870,https://www.reliableparts.ca/search?q=WPW10503278,Ontario distribution centre (428),CNTRL-ELEC - JAZZ,,In Stock,$107.96 / $188.97,0.0,https://reliableparts.net/ca/en/content/#/part/RPL  WPW10503278,0.0,107.96,TRUE,FALSE,FALSE,
Amazon.ca,https://www.amazon.ca/s?i=aps&k=DE0019A&ref=nb_sb_noss&url=search-alias=aps,ðŸ…°,,,Waterloo 032 - pickup (0),,,,,,,,0.0,FALSE,FALSE,TRUE,Proxy list ended
Amresupply.com,https://www.amresupply.com/search?q=DE0019A,ðŸ“¦$13.99,,,Mississauga 033 - pickup (1),"Universal Dryer Heating Element Assembly, Equivalent To DC47-00019A",,part In Stock,$106.46 / $212.46,0.0,https://www.amresupply.com/part/11121838,0.0,106.46,FALSE,FALSE,FALSE,
Appliancepartshq.ca,https://www.appliancepartshq.ca/search?hq=DE0019A,ðŸ“¦$13.99,,,Toronto caledonia pickup (16),"Universal Dryer Heating Element Assembly, Equivalent To DC47-00019A",,In Stock,,106.46,https://www.appliancepartshq.ca/part/13687013,0.0,106.46,FALSE,FALSE,FALSE,
Apwagner.ca,https://www.apwagner.ca/search/DE0019A,,,,Scarborough br - pickup (20),,,,,,,,0.0,FALSE,TRUE,FALSE,
Easyapplianceparts.ca,https://www.easyapplianceparts.ca/Search.ashx?SearchTerm=DE0019A&SearchMethod=standard,ðŸ“¦$12.99,,,Ottawa bank st - pickup (16),,,,,,,,0.0,FALSE,TRUE,FALSE,
eBay.ca,https://www.ebay.ca/sch/i.html?_from=R40&_nkw=DE0019A&_sacat=0&_stpos=L4L0A1&_sadis=100&_fspt=1&LH_PrefLoc=1&rt=nc&LH_BIN=1,ðŸ…±,,,Montreal distribution centre (32),,,,,40.00,https://www.ebay.ca/itm/265433832088,20.00,40.00,TRUE,FALSE,FALSE,
Encompass.com,https://encompass.com/search?searchTerm=DE0019A,,,,Supplier quantity (100+),,,,,42.38,https://www.ebay.ca/itm/265164143384,15.00,0.0,FALSE,TRUE,FALSE,
Majorapplianceparts.ca,https://majorapplianceparts.ca/?s=DE0019A&post_type=product&type_aws=true,,,,,Aftermarket Dryer Heating Element Assembly. Part #DE0019A - Major Appliance Parts,,,,65.00,https://majorapplianceparts.ca/product/aftermarket-dryer-heating-element-assembly-part-de0019a/,0.0,65.00,FALSE,FALSE,FALSE,
Marcone.com,https://beta.marcone.com/Home/SearchPartModelList?searchString=DE0019A&Type=Part,,,,Vaughan (99),DRYER HEATER ELEMENT,,In Stock,$20.00 / $47.81,0.0,https://beta.marcone.com/Product/Detail?Machine=&Category=&Part=DE0019A&Make=SEA,0.0,20.00,TRUE,FALSE,FALSE,
Partsexpert.ca,https://partsexpert.ca/?s=DE0019A&post_type=product&type_aws=true,ðŸ“¦$14.99,,,Brampton (32),,,,,,,,0.0,FALSE,TRUE,FALSE,
Reliableparts.net,https://reliableparts.net/ca/en/content/#/search/DE0019A,ðŸ“¦$10.95,https://www.reliableparts.ca/product/inv_DC47-00019A_dry_heater?replaces=DE0019A,https://www.reliableparts.ca/search?q=DE0019A,Ontario distribution centre (0),HEATER DRY (Repl: DE0019A),,In Stock,$150.83 / $197.15,0.0,https://reliableparts.net/ca/en/content/#/part/RPL  DE0019A,0.0,150.83,FALSE,FALSE,FALSE,
Amazon.ca,https://www.amazon.ca/s?i=aps&k=LPUNI1&ref=nb_sb_noss&url=search-alias=aps,ðŸ…°,,,Waterloo 032 - pickup (0),,,,,,,,0.0,FALSE,FALSE,TRUE,Proxy list ended
Amresupply.com,https://www.amresupply.com/search?q=LPUNI1,ðŸ“¦$13.99,,,Mississauga 033 - pickup (1),Universal Washer Pump,,"part Special Order"" style=""color: #cc0000;",$69.99 / $186.99,0.0,https://www.amresupply.com/part/16986210,0.0,69.99,FALSE,FALSE,FALSE,
Appliancepartshq.ca,https://www.appliancepartshq.ca/search?hq=LPUNI1,ðŸ“¦$13.99,,,Toronto caledonia pickup (1),Universal Washer Pump,,Special Order,,69.99,https://www.appliancepartshq.ca/part/16989624,0.0,69.99,FALSE,FALSE,FALSE,
Apwagner.ca,https://www.apwagner.ca/search/LPUNI1,,,,Scarborough br - pickup (9),,,,,,,,0.0,FALSE,TRUE,FALSE,
Easyapplianceparts.ca,https://www.easyapplianceparts.ca/Search.ashx?SearchTerm=LPUNI1&SearchMethod=standard,ðŸ“¦$12.99,,,Ottawa bank st - pickup (1),,,,,,,,0.0,FALSE,TRUE,FALSE,
eBay.ca,https://www.ebay.ca/sch/i.html?_from=R40&_nkw=LPUNI1&_sacat=0&_stpos=L4L0A1&_sadis=100&_fspt=1&LH_PrefLoc=1&rt=nc&LH_BIN=1,ðŸ…±,,,Montreal distribution centre (0),,,,,80.00,https://www.ebay.ca/itm/174422107323,0.0,80.00,TRUE,FALSE,FALSE,
Encompass.com,https://encompass.com/search?searchTerm=LPUNI1,,,,Supplier quantity (0),,,,,,,,0.0,FALSE,TRUE,FALSE,
Majorapplianceparts.ca,https://majorapplianceparts.ca/?s=LPUNI1&post_type=product&type_aws=true,,,,,Aftermarket Washer Pump Motor. Part #LPUNI1 - Major Appliance Parts,,,,75.00,https://majorapplianceparts.ca/product/aftermarket-washer-pump-motor-part-lpuni1/,0.0,75.00,FALSE,FALSE,FALSE,
Marcone.com,https://beta.marcone.com/Home/SearchPartModelList?searchString=LPUNI1&Type=Part,,,,,,,,,,,,0.0,FALSE,TRUE,FALSE,
Partselect.ca,https://www.partselect.ca/Search.ashx?SearchTerm=LPUNI1&SearchMethod=standard,ðŸ“¦$12.99,,,,,,,,,,,0.0,FALSE,TRUE,FALSE,
Partsexpert.ca,https://partsexpert.ca/?s=LPUNI1&post_type=product&type_aws=true,ðŸ“¦$14.99,,,,,,,,,,,0.0,FALSE,TRUE,FALSE,
Reliableparts.net,https://reliableparts.net/ca/en/content/#/search/LPUNI1,ðŸ“¦$10.95,,,,,,,,,,,0.0,TRUE,TRUE,FALSE,
Amazon.ca,https://www.amazon.ca/s?i=aps&k=W11346623&ref=nb_sb_noss&url=search-alias=aps,ðŸ…°,,,,,,,,,,,0.0,FALSE,FALSE,TRUE,Proxy list ended
Amresupply.com,https://www.amresupply.com/search?q=W11346623,ðŸ“¦$13.99,,,,Whirlpool Refrigerator Water Filter Base & Tube Assembly,,part In Stock,$83.49 / $0,0.0,https://www.amresupply.com/part/18456624,0.0,0.0,FALSE,FALSE,FALSE,
Appliancepartshq.ca,https://www.appliancepartshq.ca/search?hq=W11346623,ðŸ“¦$13.99,,,,Whirlpool Refrigerator Water Filter Base & Tube Assembly,,In Stock,,83.49,https://www.appliancepartshq.ca/part/18457024,0.0,83.49,FALSE,FALSE,FALSE,
Apwagner.ca,https://www.apwagner.ca/search/W11346623,,,,,,,,,,,,0.0,FALSE,TRUE,FALSE,
Easyapplianceparts.ca,https://www.easyapplianceparts.ca/Search.ashx?SearchTerm=W11346623&SearchMethod=standard,ðŸ“¦$12.99,,,,HEAD-FILTR,,On Order,,72.69,https://www.easyapplianceparts.ca/PartInfo.aspx?inventory=12712109&SourceCode=3&SearchTerm=W11346623,0.0,72.69,FALSE,FALSE,FALSE,
eBay.ca,https://www.ebay.ca/sch/i.html?_from=R40&_nkw=W11346623&_sacat=0&_stpos=L4L0A1&_sadis=100&_fspt=1&LH_PrefLoc=1&rt=nc&LH_BIN=1,ðŸ…±,,,,,,,,,,,0.0,TRUE,TRUE,FALSE,
Encompass.com,https://encompass.com/search?searchTerm=W11346623,,,,,W11346623 Whirlpool Head - Filter,,In Stock,$53.95 usd,0.0,https://encompass.com/item/12320828/Whirlpool/W11346623/,0.0,53.95,FALSE,FALSE,FALSE,
Majorapplianceparts.ca,https://majorapplianceparts.ca/?s=W11346623&post_type=product&type_aws=true,,,,,Whirlpool Refrigerator Water Filter Base And Tube Assembly. Part #W11346623 - Major Appliance Parts,,,,65.00,https://majorapplianceparts.ca/product/whirlpool-refrigerator-water-filter-base-and-tube-assembly-part-w11346623/,0.0,65.00,TRUE,FALSE,FALSE,
Marcone.com,https://beta.marcone.com/Home/SearchPartModelList?searchString=W11346623&Type=Part,,,,Brampton (1),HEAD-FILTR,,In stock (other location),$48.47 / $75.60,0.0,https://beta.marcone.com/Product/Detail?Part=W11346623&Make=WPL,0.0,48.47,FALSE,FALSE,FALSE,
Partselect.ca,https://www.partselect.ca/Search.ashx?SearchTerm=W11346623&SearchMethod=standard,ðŸ“¦$12.99,,,,HEAD-FILTR,, On Order,,81.47,https://www.partselect.ca/PS12712109-Whirlpool-W11346623-HEAD-FILTR.htm?SourceCode=3&SearchTerm=W11346623,0.0,81.47,FALSE,FALSE,FALSE,
Partsexpert.ca,https://partsexpert.ca/?s=W11346623&post_type=product&type_aws=true,ðŸ“¦$14.99,,,,HEAD-FILTR,,,,75.41,https://partsexpert.ca/product/whirlpool-w11346623-head-filtr/,0.0,75.41,FALSE,FALSE,FALSE,
Reliableparts.net,https://reliableparts.net/ca/en/content/#/search/W11346623,ðŸ“¦$10.95,https://www.reliableparts.ca/product/inv_18397915,https://www.reliableparts.ca/search?q=W11346623,Ontario distribution centre (0),HEAD-FILTR,,In Stock,$56.56 / $79.38,0.0,https://reliableparts.net/ca/en/content/#/part/RPL  W11346623,0.0,56.56,TRUE,FALSE,FALSE,
Amazon.ca,https://www.amazon.ca/s?i=aps&k=5303935066&ref=nb_sb_noss&url=search-alias=aps,ðŸ…°,,,Waterloo 032 - pickup (0),,,,,,,,0.0,FALSE,FALSE,TRUE,Proxy list ended
Amresupply.com,https://www.amresupply.com/search?q=5303935066,ðŸ“¦$13.99,,,Mississauga 033 - pickup (0),Frigidaire Range Gas Ignitor,,part In Stock,$80.77 / $160.77,0.0,https://www.amresupply.com/part/5303935066-FRIG-RA-OVEN-IGNITOR,0.0,80.77,FALSE,FALSE,FALSE,
Appliancepartshq.ca,https://www.appliancepartshq.ca/search?hq=5303935066,ðŸ“¦$13.99,,,Toronto caledonia pickup (0),Frigidaire Range Gas Ignitor,,In Stock,,80.77,https://www.appliancepartshq.ca/part/12090219,0.0,80.77,FALSE,FALSE,FALSE,
Apwagner.ca,https://www.apwagner.ca/search/5303935066,,,,Scarborough br - pickup (2),IGNITOR,,In Stock,,90.14,https://www.apwagner.ca/part/wci/5303935066,0.0,90.14,TRUE,FALSE,FALSE,
Easyapplianceparts.ca,https://www.easyapplianceparts.ca/Search.ashx?SearchTerm=5303935066&SearchMethod=standard,ðŸ“¦$12.99,,,Ottawa bank st - pickup (0),Flat Style Oven Igniter,,In Stock,,75.86,https://www.easyapplianceparts.ca/PartSearchResult.aspx?PartNum=5303935066,0.0,75.86,FALSE,FALSE,FALSE,
eBay.ca,https://www.ebay.ca/sch/i.html?_from=R40&_nkw=5303935066&_sacat=0&_stpos=L4L0A1&_sadis=100&_fspt=1&LH_PrefLoc=1&rt=nc&LH_BIN=1,ðŸ…±,,,Montreal distribution centre (0),,,,,113.92,https://www.ebay.ca/itm/394238934555,0.0,113.92,TRUE,FALSE,FALSE,
Encompass.com,https://encompass.com/search?searchTerm=5303935066,,,,Supplier quantity (-1),5303935066 Electrolux Oven Igniter,,In Stock,$27.95 usd,0.0,https://encompass.com/item/9664802/GE/5303935066/,0.0,27.95,TRUE,FALSE,FALSE,
Majorapplianceparts.ca,https://majorapplianceparts.ca/?s=5303935066&post_type=product&type_aws=true,,,,,Aftermarket Range Gas Ignitor. Part #SGR5066 - Major Appliance Parts,,,,50.00,https://majorapplianceparts.ca/product/aftermarket-range-gas-ignitor-part-sgr5066/,0.0,50.00,TRUE,FALSE,FALSE,
Marcone.com,https://beta.marcone.com/Home/SearchPartModelList?searchString=5303935066&Type=Part,,,,Vaughan (99),"IGNITOR,OVEN KIT,W/NUT &amp; INSTR",,In Stock,$23.99 / $100.15,0.0,https://beta.marcone.com/Product/Detail?Machine=&Category=&Part=5303935066&Make=WCI,0.0,23.99,TRUE,FALSE,FALSE,
Partsexpert.ca,https://partsexpert.ca/?s=5303935066&post_type=product&type_aws=true,ðŸ“¦$14.99,,,Brampton (42),"Igniter, Oven",,,,99.9,https://partsexpert.ca/product/frigidaire-5303935066-igniter-oven/,0.0,99.9,FALSE,FALSE,FALSE,
Reliableparts.net,https://reliableparts.net/ca/en/content/#/search/5303935066,ðŸ“¦$10.95,https://www.reliableparts.ca/product/Igniter-Oven-1515955,https://www.reliableparts.ca/search?q=5303935066,Ontario distribution centre (345),"_OVEN IGNITOR KIT,W/NUT& I",,In Stock,$23.99 / $105.16,0.0,https://reliableparts.net/ca/en/content/#/part/RPL  5303935066,0.0,23.99,TRUE,FALSE,FALSE,
Amazon.ca,https://www.amazon.ca/s?i=aps&k=DE634A&ref=nb_sb_noss&url=search-alias=aps,ðŸ…°,,,Waterloo 032 - pickup (0),,,,,,,,0.0,FALSE,FALSE,TRUE,Proxy list ended
Amresupply.com,https://www.amresupply.com/search?q=DE634A,ðŸ“¦$13.99,,,Mississauga 033 - pickup (4),"Universal Dryer Idler Arm, Equivalent To DC93-00634A",,part In Stock,$18.99 / $36.99,0.0,https://www.amresupply.com/part/17746560,0.0,18.99,FALSE,FALSE,FALSE,
Appliancepartshq.ca,https://www.appliancepartshq.ca/search?hq=DE634A,ðŸ“¦$13.99,,,Toronto caledonia pickup (38),"Universal Dryer Idler Arm, Equivalent To DC93-00634A",,In Stock,,18.99,https://www.appliancepartshq.ca/part/17762747,0.0,18.99,FALSE,FALSE,FALSE,
Apwagner.ca,https://www.apwagner.ca/search/DE634A,,,,Scarborough br - pickup (34),,,,,,,,0.0,FALSE,TRUE,FALSE,
Easyapplianceparts.ca,https://www.easyapplianceparts.ca/Search.ashx?SearchTerm=DE634A&SearchMethod=standard,ðŸ“¦$12.99,,,Ottawa bank st - pickup (15),,,,,,,,0.0,FALSE,TRUE,FALSE,
eBay.ca,https://www.ebay.ca/sch/i.html?_from=R40&_nkw=DE634A&_sacat=0&_stpos=L4L0A1&_sadis=100&_fspt=1&LH_PrefLoc=1&rt=nc&LH_BIN=1,ðŸ…±,,,Montreal distribution centre (17),,,,,25.00,https://www.ebay.ca/itm/255785072461,20.00,25.00,TRUE,FALSE,FALSE,
Encompass.com,https://encompass.com/search?searchTerm=DE634A,,,,Supplier quantity (0),,,,,38.95,https://www.ebay.ca/itm/295171758904,25.24,0.0,FALSE,TRUE,FALSE,
Majorapplianceparts.ca,https://majorapplianceparts.ca/?s=DE634A&post_type=product&type_aws=true,,,,,Aftermarket Universal Dryer Idler Pulley Assembly. Part #DE634A - Major Appliance Parts,,,,40.00,https://majorapplianceparts.ca/product/samsung-idler-assembly/,0.0,40.00,TRUE,FALSE,FALSE,
Marcone.com,https://beta.marcone.com/Home/SearchPartModelList?searchString=DE634A&Type=Part,,,,Vaughan (99),IDLER ARM,,In Stock,$8.03 / $38.95,0.0,https://beta.marcone.com/Product/Detail?Part=DE634A&Make=SEA,0.0,8.03,FALSE,FALSE,FALSE,
Partselect.ca,https://www.partselect.ca/Search.ashx?SearchTerm=DE634A&SearchMethod=standard,ðŸ“¦$12.99,,,Brampton (25),,,,,,,,0.0,FALSE,TRUE,FALSE,
Partsexpert.ca,https://partsexpert.ca/?s=DE634A&post_type=product&type_aws=true,ðŸ“¦$14.99,,,Mississauga (22),,,,,,,,0.0,FALSE,TRUE,FALSE,
Reliableparts.net,https://reliableparts.net/ca/en/content/#/search/DE634A,ðŸ“¦$10.95,https://www.reliableparts.ca/product/inv_15726528?replaces=DE634A,https://www.reliableparts.ca/search?q=DE634A,Ontario distribution centre (32),"ASSY, BRACKET IDLER PULLEY (Repl: DE634A)",,In Stock,$80.39 / $105.07,0.0,https://reliableparts.net/ca/en/content/#/part/RPL  DE634A,0.0,80.39,FALSE,FALSE,FALSE,
,,,,,Waterloo 032 - pickup (1),,,,,,,,,,,,
,,,,,Mississauga 033 - pickup (3),,,,,,,,,,,,
,,,,,Toronto caledonia pickup (10),,,,,,,,,,,,
,,,,,Scarborough br - pickup (22),,,,,,,,,,,,
,,,,,Ottawa bank st - pickup (9),,,,,,,,,,,,
,,,,,Montreal distribution centre (5),,,,,,,,,,,,
,,,,,Supplier quantity (0),,,,,,,,,,,,
Evaluation Only. Created with Aspose.Cells for .NET.Copyright 2003 - 2022 Aspose Pty Ltd.